Order ID,Quantity,Unit Price,Sales,Discount,Shipping Cost
AE-2012-PO8865138-41184,8,54.405000000000015,161.08200000000005,1.4,9.56
AE-2014-EB4110138-41926,7,41.706,228.99599999999998,1.4,61.18
AE-2014-MY7380138-42004,3,15.300000000000004,23.634000000000007,1.4,3.16
AE-2015-GH4665138-42351,16,142.056,281.502,4.199999999999999,21.380000000000003
AE-2015-JD5790138-42070,2,3.213,6.425999999999999,0.7,1.49
AE-2015-PG8820138-42313,1,42.48000000000001,42.48000000000001,0.7,8.04
AG-2012-AA6453-41020,2,149.33999999999995,298.67999999999995,0.0,47.5
AG-2012-AC4203-40915,2,45.69,91.38,0.0,4.36
AG-2012-AH2103-41133,2,138.48,276.96,0.0,20.15
AG-2012-AJ7803-40978,1,35.97,35.97,0.0,2.83
AG-2012-AS2853-41235,2,27.450000000000003,54.900000000000006,0.0,3.48
AG-2012-BC11253-41219,1,10.919999999999998,10.919999999999998,0.0,2.05
AG-2012-BM17853-41052,2,437.34,874.6800000000001,0.0,78.7
AG-2012-BM17853-41085,13,83.31,510.24,0.0,21.23
AG-2012-CC23703-40970,1,113.28000000000002,113.28000000000002,0.0,9.51
AG-2012-DB32103-41257,2,29.370000000000005,58.74000000000001,0.0,3.04
AG-2012-DH36753-41136,14,61.53,607.26,0.0,37.730000000000004
AG-2012-DK28353-41264,6,264.90000000000003,1589.4,0.0,102.07
AG-2012-EG39003-41262,7,590.34,1475.97,0.0,197.73999999999998
AG-2012-JH59853-41214,1,24.72,24.72,0.0,4.29
AG-2012-MW82203-41108,4,13.86,55.44,0.0,3.98
AG-2012-MW82203-41268,2,58.02,116.04,0.0,9.32
AG-2012-OT87303-41262,1,198.09,198.09,0.0,12.63
AG-2012-RO97803-40964,19,559.29,1408.41,0.0,403.42
AG-2012-RS97653-41074,1,11.37,11.37,0.0,3.8
AG-2012-TB112803-40909,2,204.15,408.3,0.0,35.46
AG-2012-TH112353-40918,1,308.64,308.64,0.0,31.41
AG-2012-TT110703-41133,1,10.41,10.41,0.0,1.74
AG-2013-AA4803-41494,1,110.1,110.1,0.0,7.95
AG-2013-BP12303-41486,5,213.39000000000001,362.70000000000005,0.0,17.79
AG-2013-CC24303-41517,6,64.14,153.24,0.0,10.95
AG-2013-CP23403-41422,32,1076.6100000000001,2366.1,0.0,242.57999999999998
AG-2013-DC32853-41506,3,221.01,269.49,0.0,33.010000000000005
AG-2013-GH44103-41604,1,16.709999999999997,16.709999999999997,0.0,1.1
AG-2013-KF62853-41594,4,82.11,105.36,0.0,6.29
AG-2013-LC70503-41535,10,223.26000000000002,754.7100000000002,0.0,54.75
AG-2013-LM70653-41352,11,414.39,528.6,0.0,29.58
AG-2013-LM70653-41618,6,131.52,291.78000000000003,0.0,15.719999999999999
AG-2013-MP74703-41495,1,17.52,17.52,0.0,1.4
AG-2013-MV81903-41587,1,63.870000000000005,63.870000000000005,0.0,4.6
AG-2013-PF91653-41608,2,198.21,198.21,0.0,28.54
AG-2013-PO88653-41634,7,341.64,1932.24,0.0,172.39
